extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,session_id,trace_file,round,accuracy,turns,words,re_words,mean_re_length,relative_lexical_overlap,jaccard_lexical_overlap,extracted_objects
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,100.0,36,1406,642,53.5,1.0,0.0,12
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,100.0,26,973,381,31.75,0.8676933439100544,0.4785384257526726,12
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,100.0,26,1035,429,35.75,0.7561679192446897,0.6406204514185605,12
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,100.0,28,1161,468,39.0,0.7933485753551279,0.681405605878223,12
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,5,100.0,32,1340,534,44.5,0.6907136082356461,0.5688260034935276,12
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,1,100.0,28,1073,518,43.166666666666664,1.0,0.0,12
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,2,100.0,24,873,419,34.916666666666664,0.7828214970364361,0.5361459195313258,12
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,3,91.66666666666666,26,1052,476,39.666666666666664,0.7280088376857042,0.6097333596650704,12
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,4,100.0,24,994,466,38.833333333333336,0.8024777426040606,0.6564851841492846,12
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,5,100.0,26,1068,474,39.5,0.8065080938809536,0.6572300791825919,12
