object_category,pair_ix,FirstRoundCardIndex,round_ix,human_extracted,llm_extracted
baskets,45,Card1,1,"rectangle shaped, handle in middle, no lid, empty","rectangle shaped basket, the handle in the middle"
baskets,45,Card1,2,"rectangle shaped with handle in middle, no lid",rectangle shaped one with the handle in the middle
baskets,45,Card1,3,rectangle shaped with handle in middle,rectangle shaped one with the handle in the middle
baskets,45,Card1,4,rectangular shaped with handle in middle,rectangular shaped with the handle in the middle
baskets,45,Card2,1,"Easter basket, pink things, pink wood, twisted handle, green outlining around the handles especially, squarish type bottom","like a Easter basket, has like pink…things, pink um wood, a twisted handle, has like pink in it, the…things that you sew it together with, has green outlining in it, around the handles especially, squarish type bottom"
baskets,45,Card2,2,Easter basket,the Easter basket
baskets,45,Card2,3,Easter basket,the Easter basket
baskets,45,Card2,4,Easter basket,the Easter basket
baskets,45,Card3,1,"circular, criss-cross box, handle, one of them goes straight and rest of them criss-cross, round, shaped like bowl, texture is criss-cross, no lid, lightish brown, a little bit black inside","a circular one and it's like crisscross box baskets, circular one, like the most circular one, round handle, shaped like a bowl, texture it's like crisscross, lightish brown kind of, a little bit black inside"
baskets,45,Card3,2,"circular with criss-crosses and little black stuff inside, with round handle and no lid","that circular one with the crisscrosses and the little black stuff inside, round handle and no lid"
baskets,45,Card3,3,"confusing one that's circular, with criss-cross and black stuff inside",circular with the crisscross and the black stuff inside
baskets,45,Card3,4,confusing one with black stuff inside,"no lid and handle, confusing one with the black stuff inside"
baskets,45,Card4,1,"doesn't have a lid, wide, circle, really tiny like the sewing things, widest one, biggest one, no handles, just like a bowl","doesn't have a lid, it's like wide, it's a circle, really tiny like the sewing things, the widest one, looks like it will be the biggest one"
baskets,45,Card4,2,"widest, bowl shaped, no handles and no lid","the widest, no handles and no lid"
baskets,45,Card4,3,"most circular and widest, with no lid and no handle",the most circular and widest…one with no lid and no handle
baskets,45,Card4,4,"wide bowl, biggest, most circular","the wide bowl, like the biggest, the most circular and wide bowl"
baskets,45,Card5,1,"pink ribbon going around it, small, criss-cross things, gets smaller as it goes towards bottom","it has like a pink ribbon going around it, it's small and it also has like the crisscross things"
baskets,45,Card5,2,"smallest with pink ribbon going around it, no lid",the smallest basket with the pink ribbon going around it
baskets,45,Card5,3,"smallest, pink ribbon going around it","the smallest basket with the…round ribbon, the pink ribbon going around it"
baskets,45,Card5,4,smallest with pink ribbon going around,the smallest one with the pink ribbon going around
baskets,45,Card6,1,"light goldish, triangles, greenish background in back, circular on bottom, like a bowl, solid at bottom","light goldish basket, has like triangles, greenish background, circular on the bottom, solid at the bottom"
baskets,45,Card6,2,"no lid, no handle, triangles on bowl, goldish, green in background","no lid, no handle, triangles on the bowl, goldish brown, green in the background"
baskets,45,Card6,3,green background and triangles and goldish brown,"green background and triangles, goldish brown"
baskets,45,Card6,4,green background with triangles and it's goldish brown,"green background with triangles, goldish brown"
baskets,45,Card7,1,"lid, goldish, two handles on the edge, little things sticking up in middle","has a lid and um it's like goldish and it has like handles, like two handles…on the… edge, little thing sticking up in the middle"
baskets,45,Card7,2,"lid, goldish brown with two handles and that thing sticking up in middle","is the one with the lid, It's goldish brown with two handles and that thing sticking up in the middle"
baskets,45,Card7,3,goldish brown with two small handles on side and that thing sticking up,the one with the two ha--it's goldish brown with two small handles on the side and that thing sticking up
baskets,45,Card7,4,two small handles and thing sticking up on lid,"the one that has the two small handles and the thing sticking up, On the lid"
baskets,45,Card8,1,"triangle shaped basket, looks almost like heart",triangle…shaped basket
baskets,45,Card8,2,heart shaped,heart shaped
baskets,45,Card8,3,heart shaped,heart shaped
baskets,45,Card8,4,heart shaped,heart shaped
baskets,45,Card9,1,"circular, handle in middle","circular one, has a handle in the middle"
baskets,45,Card9,2,round with lid and handle,round one with the lid and a handle
baskets,45,Card9,3,"roundish with flat lid and square handle,","roundish with the flat lid and a handle, square handle"
baskets,45,Card9,4,circular with square handle and flat,circular one with the square handle and the flat lid
baskets,45,Card10,1,"square-ish, gets smaller as you go down, lid is like a black type circle","squarish one, it gets smaller as you go down, it has a lid"
baskets,45,Card10,2,"gets smaller as you go along, square, flat lid","last one from the first card, it gets smaller as you go along, it's like a square one, the flat lid"
baskets,45,Card10,3,"square, gets smaller as you go along, with flat lid, handle",the square one that gets smaller as you go along with the flat lid
baskets,45,Card10,4,"square, gets smaller as you go down, with handle and flat lid","the square one that goes down, like gets smaller as you go down"
baskets,35,Card1,1,"long, handle, light in middle, woven, brownish ,you could see the far inside, you could see the bottom which is not woven just like a piece of wood, long rectangle type of shape, handle in middle","It's a basket, long, handle, light in the middle, Woven, Brownish, you could see the far, um, inside, and sort of the--you could see the bottom which is kind of like not woven, just like a piece of wood, sort of--it's like in a long rectangle type of a shape"
baskets,35,Card1,2,"rectangle, long, handle in middle","that rectangle long one, that first one from the b--from last time, with the handle in the middle"
baskets,35,Card1,3,"rectangular, long, handle right through middle","the like the rectangular, um, long one, with a handle right through the middle"
baskets,35,Card1,4,"long rectangular, handle in middle",the l--long rectangular one with the handle in the middle
baskets,35,Card2,1,"reddish color, large round handle, handle's double the size of the basket itself, woven type thing, difference of colors of red and white woven into each other, green back- ground","a reddish color, large, round handle, handle's like double the size of the basket itself, woven type thing, difference of colors of red and white, woven into each other, green background behind"
baskets,35,Card2,2,"handle twice the size of basket itself, reddish and white colored, green around handle","the handle, which is like three times--like twice the size of the basket itself, kinda reddish and white colored basket, green around the handle"
baskets,35,Card2,3,"you can't see through it, handle's three times larger, green around handle","same type of basket, handle's like three times larger, green around the handle"
baskets,35,Card2,4,green handle,"green bottom, green handle"
baskets,35,Card3,1,"basket bigger than handle, but not by much, handle is circular, interwoven, brownish color, you can see large spaces between each piece of wood, you could see white background through it, bottom is darker, round","the basket is bigger than the, um, handle, but not by much, handle is circular again, it's interwoven, sort of a brownish color, large spaces between each piece of wood, see the white background through it, bottom is darker"
baskets,35,Card3,2,"woven, holes in middle, you could see white behind it, gets darker on bottom , reddish color, no top, big handle clogging the middle","basket with um a handle, it's woven and it has holes in the middle, you could actually see the white behind it, gets darker on the bottom, reddish color, woven sort of a basket, no top, big handle clogging the middle"
baskets,35,Card3,3,"woven, handle, you could see on top, gets darker on bottom","woven--you c--with a handle, that you could see on top, it gets darker on the bottom"
baskets,35,Card3,4,"woven, with handle, gets darker on bottom, reddish, without green handle","woven one with a handle, which gets darker on the bottom, it's reddish, dark bottom"
baskets,35,Card4,1,"without handle, large, brown color, darker brown, woven, very simple, big uneven cup type thing, piece of wood on top, things are woven off of that going downwards","It's round, kinda large, it's got uh...--it's a brown color, like darker brown, it's woven again, no handles, very simple, like a big...big uneven cup type thing, it's sort of like a wood, like a strong--like a piece of wood on the top, which--its--things are woven off of that, going downwards"
baskets,35,Card4,2,big cup,like the big cup you said a little ago
baskets,35,Card4,3,large cup,large cup
baskets,35,Card4,4,big cup,a big cup
baskets,35,Card5,1,"without handle, interwoven, spaces in between, slightly smaller, red ribbon going through top","basket without a handle, which is interwoven, slightly smaller, got a red ribbon sort of going through the top of it"
baskets,35,Card5,2,"woven, red ribbon through it",woven basket with a red ribbon through it
baskets,35,Card5,3,"red ribbon through top, woven, you could see through it","the one with the red ribbon through the top of it, woven, you could see through it"
baskets,35,Card5,4,"woven, red ribbon through it, without handle","woven one, with a red ribbon through it, without the handle"
baskets,35,Card6,1,"without handle, green line through it, golden type thing","last basket without a handle, sort of a green line through it, golden type thing"
baskets,35,Card6,2,green line in middle,one with the green line in the middle
baskets,35,Card6,3,"green in middle, line, golden","one with the green in the middle, green... Line, golden"
baskets,35,Card6,4,green line,has a green line
baskets,35,Card7,1,"top, lid, two small handles but doesn't have handle that goes over top, lid with little thing sticking out of it, left handle has some green inside of it","basket with a top, lid without a handle, like two small handles, cover, two handles on either side, something on top of it, thing sticking out"
baskets,35,Card7,2,"golden, with handle and thing on top , two little handles, left one has greenish color inside","golden basket with a handle and a thing on top, two little handles, left one has, uh, greenish color inside"
baskets,35,Card7,3,"lid, green in left handle, little extra thing on top","basket with the lid and the green in the left handle, little extra thing on the top"
baskets,35,Card7,4,"lid, with thing on top of lid, left handle a little green on inside","basket with a lid, thing on top of the lid, left handle a little green on the inside"
baskets,35,Card8,1,woman's underwear,a basket which kinda looks like I guess a woman's underwear
baskets,35,Card8,2,woman's underwear,that woman's underwear one again
baskets,35,Card8,3,women's underwear,the women's underwear
baskets,35,Card8,4,women's underwear,women's underwear
baskets,35,Card9,1,"flat top, round handle, round basket, very simple, handle is more rectangle shape, goes all the way up to top, goes over whole thing, just plain round","flat top, round handle, round basket, simple, handle is more like rectangle sort of shape, round, just plain round"
baskets,35,Card9,2,"smaller of those two baskets with lid and handle, flat top cover, round, smaller","smaller of those two baskets with a lid and the handle, flat top, It's round, smaller one"
baskets,35,Card9,3,"""same one but smaller one""",same one but smaller one
baskets,35,Card9,4,"""same basket, it's just smaller""","same basket, it's just smaller"
baskets,35,Card10,1,"round handle, little bit taller, little bigger handle, flat top, not as straight, crooked a little bit, shaped down to be more square on bottom, and rounds off as it goes higher","round handle, little bit taller, a bigger basket itself, shaped down to be more square on the bottom, rounds off as it goes higher"
baskets,35,Card10,2,"big, round on top and it squares off on bottom, flat top, you could see the top is a little bit cracked, it doesn't quite fit right","big basket, round on top and it squares off on the bottom, flat top, the top is sort of like a little bit cracked, the lid, is a little bit cracked, doesn't quite fit right, really big one"
baskets,35,Card10,3,"big, flat lid, round top, square on bottom, rounds off","big basket, with a flat lid and a round top, square on the bottom, rounds off, the bigger one"
baskets,35,Card10,4,"big, flat lid, square on bottom, rounds off","big basket, flat lid, square on the bottom, rounds off"
baskets,22,Card1,1,"rectangular, light brown, oval shaped, very long in length, you can see bottom, circular sides","rectangular, light brown, oval shaped, very long"
baskets,22,Card1,2,"rectangular, handle in middle, you could see bottom","rectangular, with like, the handle in the middle"
baskets,22,Card1,3,"rectangular, handle in middle",rectangular one with the handle in the middle
baskets,22,Card1,4,"handle in middle, very rectangular, bottom's showing","with the handle in the middle, very rectangular"
baskets,22,Card2,1,"not triangle, really small, reddish things and green, handle, red strips through, loop is very big","really small basket, reddish, um, things in it, green, red, like, kinda of strips through it, small, big loop"
baskets,22,Card2,2,"not triangular red ribbon, has red and green in it as well","not the triangular red ribbon one, but it's a different one, but it has red and green in it"
baskets,22,Card2,3,"red ribbons, not triangular","red and, uh--red one, with the red ribbons, but it's not the triangular one"
