extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,session_id,trace_file,round,accuracy,turns,words,re_words,mean_re_length,relative_lexical_overlap,jaccard_lexical_overlap,extracted_objects
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,100.0,36,1406,684,57.0,1.0,0.0,12
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,100.0,26,973,462,38.5,0.7871354477299884,0.4587492949940688,12
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,100.0,26,1035,536,44.666666666666664,0.6992044509025822,0.5782663623322567,12
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,100.0,28,1161,578,48.166666666666664,0.7622486520312036,0.6416037531980797,12
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,5,100.0,32,1340,642,53.5,0.6756303419404269,0.522085138639656,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,1,100.0,28,1073,595,49.583333333333336,1.0,0.0,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,2,100.0,24,873,483,40.25,0.776305413204302,0.5310812587207778,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,3,91.66666666666666,26,1052,561,46.75,0.7342455072323485,0.6255318230050088,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,4,100.0,24,994,537,44.75,0.8153999708623528,0.6695954481213149,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_1,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_1/gpt5.2-acl-cross-round_143142_1_data.json,5,100.0,26,1068,580,48.333333333333336,0.8040911547483006,0.7032903608639307,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_2,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_2/gpt5.2-acl-cross-round_143142_2_data.json,1,100.0,24,936,489,40.75,1.0,0.0,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_2,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_2/gpt5.2-acl-cross-round_143142_2_data.json,2,100.0,30,1062,546,45.5,0.6963752845810872,0.5697455006064905,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_2,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_2/gpt5.2-acl-cross-round_143142_2_data.json,3,100.0,28,1130,608,50.666666666666664,0.7251448844024408,0.6010348750128837,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_2,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_2/gpt5.2-acl-cross-round_143142_2_data.json,4,100.0,26,1073,556,46.333333333333336,0.7725769712398921,0.5829230066647885,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_2,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_2/gpt5.2-acl-cross-round_143142_2_data.json,5,100.0,30,1184,605,50.416666666666664,0.7518109455150147,0.621474639806937,12
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_3,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_3/gpt5.2-acl-cross-round_143142_3_data.json,1,41.66666666666667,44,1842,888,74.0,1.0,0.0,10
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl-cross-round_143142_3,data/experiments/ACL/2026-05-15/gpt5.2-acl/gpt5.2-acl-cross-round_143142_3/gpt5.2-acl-cross-round_143142_3_data.json,2,83.33333333333334,34,1464,688,57.333333333333336,0.6667746867953381,0.4019781613012467,12
