extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,session_id,trace_file,round,accuracy,turns,words,re_words,mean_re_length,relative_lexical_overlap,jaccard_lexical_overlap,extracted_objects
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,100.0,34,1158,562,46.833333333333336,1.0,0.0,12
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,75.0,28,1221,549,45.75,0.28992723420798766,0.16213599313368918,12
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,91.66666666666666,36,1406,621,51.75,0.31180909357501346,0.19160403446863783,12
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,100.0,30,1117,557,46.416666666666664,0.31324006473705757,0.1717774139619327,12
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_2/gpt5.2-acl_123244_2_data.json,1,100.0,24,1112,474,39.5,1.0,0.0,12
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_2/gpt5.2-acl_123244_2_data.json,2,100.0,36,1562,647,53.916666666666664,0.2677694804160989,0.17355875669090434,12
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_2/gpt5.2-acl_123244_2_data.json,3,33.33333333333333,42,1815,722,60.166666666666664,0.303249042170277,0.17984043655063628,11
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_2/gpt5.2-acl_123244_2_data.json,4,25.0,42,1809,685,57.083333333333336,0.28604216444748926,0.1557088202698218,12
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_3,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_3/gpt5.2-acl_123244_3_data.json,1,100.0,40,1560,661,55.083333333333336,1.0,0.0,12
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_3,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_3/gpt5.2-acl_123244_3_data.json,2,100.0,32,1267,567,47.25,0.3338740860242786,0.1753773438619425,12
