experiment,prompt_strategy,director_model,matcher_model,session_id,round,object_num,basket_id,left_extractor,left_gpt_model,right_extractor,right_gpt_model,left_re_words,right_re_words,word_count_delta_right_minus_left,multiset_jaccard,left_referring_expression,right_referring_expression
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,1,1,deterministic,,deterministic,,34,34,0,1.0,"the light tan wicker basket shaped like a duck/bird: a rounded body with a pointed beak sticking out to the right, a small dark eye, and a flat strap/handle along the top.","the light tan wicker basket shaped like a duck/bird: a rounded body with a pointed beak sticking out to the right, a small dark eye, and a flat strap/handle along the top."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,10,10,deterministic,,deterministic,,38,38,0,1.0,"a very shallow round tray/bowl with a single handle that comes up from ONE side (off-center, like a half-arch). The base has a clear spiral/coil pattern with alternating light and slightly darker tan rings.","a very shallow round tray/bowl with a single handle that comes up from ONE side (off-center, like a half-arch). The base has a clear spiral/coil pattern with alternating light and slightly darker tan rings."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,11,11,deterministic,,deterministic,,40,40,0,1.0,"a round, open-top tub/bucket basket with TWO built-in side handles that stick up like little ears. The weave is a diagonal/chevron pattern and it’s a medium-to-dark brown overall (no single top arch handle).","a round, open-top tub/bucket basket with TWO built-in side handles that stick up like little ears. The weave is a diagonal/chevron pattern and it’s a medium-to-dark brown overall (no single top arch handle)."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,12,12,deterministic,,deterministic,,39,39,0,1.0,"a compact light-brown wicker basket with ONE thick arched handle. The key feature is the rim—it's scalloped/wavy with a dip in the middle (front/back), giving the opening a curved ‘smile’ shape rather than straight.","a compact light-brown wicker basket with ONE thick arched handle. The key feature is the rim—it's scalloped/wavy with a dip in the middle (front/back), giving the opening a curved ‘smile’ shape rather than straight."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,2,2,deterministic,,deterministic,,63,63,0,1.0,"a deep, rounded bucket-shaped wicker basket with one tall arch handle. The handle is thick and very dark brown (almost black) with lighter worn spots; the basket body is darker overall with a lighter band right near the rim. definitely the deep bulbous/tight-weave bucket, with that very dark thick handle and a clear pale strip/band right under the rim.","a deep, rounded bucket-shaped wicker basket with one tall arch handle. The handle is thick and very dark brown (almost black) with lighter worn spots; the basket body is darker overall with a lighter band right near the rim. definitely the deep bulbous/tight-weave bucket, with that very dark thick handle and a clear pale strip/band right under the rim."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,3,3,deterministic,,deterministic,,76,76,0,1.0,"a light honey-tan rectangular picnic basket with a single upright handle in the middle (like a divider). The distinctive thing: it has a flat lid that’s flipped open/up on the RIGHT side, so you can see the dark interior. the picnic-style rectangular wicker basket with the single upright center handle/divider, and the lid is open/flipped up on the RIGHT side (dark interior visible). Not the flat trunk with metal rails.","a light honey-tan rectangular picnic basket with a single upright handle in the middle (like a divider). The distinctive thing: it has a flat lid that’s flipped open/up on the RIGHT side, so you can see the dark interior. the picnic-style rectangular wicker basket with the single upright center handle/divider, and the lid is open/flipped up on the RIGHT side (dark interior visible). Not the flat trunk with metal rails."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,4,4,deterministic,,deterministic,,71,71,0,1.0,"an elongated oval wicker basket with one arched handle. The body is mostly pale/whitish wicker with a tan rim, and the handle has small colored wrap accents (reddish/purple bands) near where it meets the sides. the mostly pale/whitewashed elongated oval with a tan rim, and the handle has those small reddish/purple wrap accents where it attaches. Not the one with a thick dark band around the middle.","an elongated oval wicker basket with one arched handle. The body is mostly pale/whitish wicker with a tan rim, and the handle has small colored wrap accents (reddish/purple bands) near where it meets the sides. the mostly pale/whitewashed elongated oval with a tan rim, and the handle has those small reddish/purple wrap accents where it attaches. Not the one with a thick dark band around the middle."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,5,5,deterministic,,deterministic,,40,40,0,1.0,"a low, shallow rectangular wicker basket with one big arched handle that looks like a thick twisted rope. The body is warm medium-brown with a tight checkerboard weave (darker vertical stakes), and it’s more tray-like than deep.","a low, shallow rectangular wicker basket with one big arched handle that looks like a thick twisted rope. The body is warm medium-brown with a tight checkerboard weave (darker vertical stakes), and it’s more tray-like than deep."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,6,6,deterministic,,deterministic,,32,32,0,1.0,"a round, lidded wicker basket shaped like a cat head: two little ears on top and a painted face (eyes, nose, whiskers). It’s light tan and sits on small little feet.","a round, lidded wicker basket shaped like a cat head: two little ears on top and a painted face (eyes, nose, whiskers). It’s light tan and sits on small little feet."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,7,7,deterministic,,deterministic,,59,59,0,1.0,"a boxy rectangular basket with one wide arched handle. The standout is the two-tone body—greenish/teal vertical weaving—topped with a thick warm-brown braided band around the rim. it’s the boxy rectangular one with a distinctly green/teal woven body and a thick warm-brown braided band around the rim, with a broad arched handle.","a boxy rectangular basket with one wide arched handle. The standout is the two-tone body—greenish/teal vertical weaving—topped with a thick warm-brown braided band around the rim. it’s the boxy rectangular one with a distinctly green/teal woven body and a thick warm-brown braided band around the rim, with a broad arched handle."
