extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,1,6,6,94.44444444444444,13.608276348795437,34.0,7.797435475847172,1361.6666666666667,251.93147216389355,593.3333333333334,108.24540021020138,49.44444444444444,9.020450017516783,1.0,0.0,0.0,0.0,11.833333333333334,0.408248290463863
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,2,6,6,88.88888888888889,18.00205749557739,34.0,4.0,1389.1666666666667,139.94772833692824,605.8333333333334,42.799143293606555,50.486111111111114,3.5665952744672116,0.29722202004896614,0.031487976767423834,0.16966106358059888,0.007973440990061071,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,3,6,6,80.55555555555554,24.532669073132908,34.333333333333336,6.121002096606949,1350.0,289.8779053325727,590.0,105.46468603281384,49.166666666666664,8.78872383606782,0.3222089779757488,0.025814845582083662,0.18136147474277822,0.006728765967678913,11.833333333333334,0.408248290463863
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,4,6,6,66.66666666666667,36.132472314464664,33.0,4.857983120596447,1419.5,256.3519065659548,585.0,50.61225148123723,48.75,4.217687623436437,0.2835091265964395,0.016626868753040223,0.16088562045790694,0.01093179353080247,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,5,6,6,94.44444444444444,13.608276348795437,33.666666666666664,8.334666560017062,1428.3333333333333,307.1043253792865,627.6666666666666,123.1936145531361,52.30555555555556,10.266134546094673,0.326455725584323,0.051704867957539494,0.19935007713095598,0.02079471629050494,11.833333333333334,0.408248290463863
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,1,5,5,100.0,0.0,25.2,1.7888543819998317,756.4,39.61439132436595,322.6,14.501724035437993,26.883333333333333,1.2084770029531657,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,2,5,5,100.0,0.0,25.6,0.8944271909999159,833.2,39.88984833262719,353.0,14.38749456993816,29.416666666666668,1.1989578808281793,0.3272544859204689,0.013403375633041482,0.20674454431422473,0.008290312556037032,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,3,5,5,100.0,0.0,24.8,1.0954451150103321,747.2,33.36465195382682,320.8,17.181385275931625,26.733333333333334,1.4317821063276353,0.35712020576215986,0.016445360157599256,0.20503734395849216,0.014335084929747697,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,4,5,5,95.0,4.5643546458763895,26.4,3.286335345030997,822.6,76.23844174692974,352.6,42.87540087276153,29.383333333333333,3.572950072730128,0.29374653179528964,0.013022660756729124,0.178543293283177,0.0066046126158768115,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,5,5,5,98.33333333333333,3.726779962499654,24.8,1.0954451150103321,818.4,40.09114615473097,372.2,10.66302021005306,31.016666666666666,0.8885850175044221,0.3555239819253379,0.020642229221752968,0.22583505780664792,0.006817408351264571,12.0,0.0
