extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
gpt,gpt-5.5,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,1,1,1,100.0,0.0,26.0,0.0,620.0,0.0,268.0,0.0,22.333333333333332,0.0,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,2,1,1,100.0,0.0,26.0,0.0,595.0,0.0,248.0,0.0,20.666666666666668,0.0,0.9364740078126806,0.0,0.8245252837145877,0.0,12.0,0.0
gpt,gpt-5.5,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,3,1,1,100.0,0.0,26.0,0.0,604.0,0.0,257.0,0.0,21.416666666666668,0.0,0.9302930209251721,0.0,0.9031285187606698,0.0,12.0,0.0
gpt,gpt-5.5,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,4,1,1,100.0,0.0,28.0,0.0,653.0,0.0,246.0,0.0,20.5,0.0,0.9719215969215971,0.0,0.9076492697488122,0.0,12.0,0.0
gpt,gpt-5.5,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,5,1,1,100.0,0.0,26.0,0.0,603.0,0.0,255.0,0.0,21.25,0.0,0.9413989312873752,0.0,0.9221664668918675,0.0,12.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,1,1,1,100.0,0.0,36.0,0.0,1406.0,0.0,642.0,0.0,53.5,0.0,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,2,1,1,100.0,0.0,26.0,0.0,973.0,0.0,381.0,0.0,31.75,0.0,0.8676933439100544,0.0,0.4785384257526726,0.0,12.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,3,1,1,100.0,0.0,26.0,0.0,1035.0,0.0,429.0,0.0,35.75,0.0,0.7561679192446897,0.0,0.6406204514185605,0.0,12.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,4,1,1,100.0,0.0,28.0,0.0,1161.0,0.0,468.0,0.0,39.0,0.0,0.7933485753551279,0.0,0.681405605878223,0.0,12.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,5,1,1,100.0,0.0,32.0,0.0,1340.0,0.0,534.0,0.0,44.5,0.0,0.6907136082356461,0.0,0.5688260034935276,0.0,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,1,4,4,85.41666666666667,29.166666666666664,35.0,10.519822558706334,1379.25,442.2000866877648,574.5,127.19669807035086,47.875,10.599724839195904,1.0,0.0,0.0,0.0,11.5,1.0
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,2,4,4,95.83333333333334,8.333333333333329,28.0,4.898979485566356,1131.0,246.47515087732475,509.5,104.7298111013924,42.45833333333333,8.727484258449367,0.7450124568931298,0.07973034155221231,0.5283379390727172,0.06457027272640657,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,3,4,4,97.91666666666666,4.166666666666671,29.5,4.43471156521669,1258.0,218.63058645425926,521.75,48.46562355594599,43.479166666666664,4.038801962995499,0.7575066907906585,0.02496434462946291,0.6021385124180159,0.02712951326896531,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,4,4,4,100.0,0.0,26.5,2.516611478423583,1181.5,184.78906894077906,513.5,53.97839073802281,42.791666666666664,4.498199228168565,0.7585090778820923,0.036654933799495346,0.5970887139650958,0.05290723265925749,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,5,4,4,97.91666666666666,4.166666666666671,28.0,2.309401076758503,1189.5,114.62838508269523,512.25,28.335784207723396,42.6875,2.3613153506436158,0.8153894165561736,0.023027228457148306,0.6705123134844388,0.037329706305096695,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-emnlp,ACL_prompt,gpt-5.2,gpt-5.2,1,5,5,93.33333333333334,9.128709291752763,34.4,6.985699678629192,1318.8,169.79458177456664,571.4,53.88691863523094,47.61666666666667,4.490576552935911,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-emnlp,ACL_prompt,gpt-5.2,gpt-5.2,2,5,5,93.33333333333334,9.128709291752763,32.8,8.19756061276768,1280.8,227.05549982328108,554.6,97.64374019874495,46.21666666666667,8.136978349895411,0.7395235759746638,0.04218476506288985,0.5615846835485571,0.04223061398894004,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-emnlp,ACL_prompt,gpt-5.2,gpt-5.2,3,5,5,91.66666666666666,10.206207261596575,29.6,4.560701700396552,1284.8,156.5477562918102,546.6,41.99166583978302,45.55,3.4993054866485855,0.7786526957882132,0.04175348958314594,0.614149203135538,0.04964337656884552,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-emnlp,ACL_prompt,gpt-5.2,gpt-5.2,4,5,5,95.0,7.453559924999296,28.0,1.4142135623730951,1225.2,73.05272068855479,520.4,27.37334469881238,43.36666666666667,2.2811120582343647,0.8063533243793044,0.021143048700793723,0.6356948641095932,0.03619078175694864,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.2-acl-emnlp,ACL_prompt,gpt-5.2,gpt-5.2,5,5,5,93.33333333333333,6.972166887783961,29.6,2.9664793948382653,1302.6,140.42364473264465,549.8,39.600505047284436,45.81666666666667,3.300042087273703,0.7750923750602112,0.034624181199991194,0.652582349151588,0.02756521283016342,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,1,9,9,100.0,0.0,25.555555555555557,0.8819171036881969,747.4444444444445,39.614110841690966,326.55555555555554,17.24899352941434,27.212962962962962,1.4374161274511956,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,2,9,9,100.0,0.0,25.77777777777778,0.6666666666666666,715.4444444444445,46.31984216054474,299.77777777777777,13.754797142976862,24.98148148148148,1.1462330952480722,0.9137342501387459,0.021776457120842932,0.7873028395027607,0.038532437909109554,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,3,9,9,100.0,0.0,25.77777777777778,0.6666666666666666,716.5555555555555,48.703467820862386,293.8888888888889,10.728984626287387,24.49074074074074,0.8940820521906157,0.9563122381406617,0.022053597368291104,0.9050681009525713,0.03470270884722238,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,4,9,9,100.0,0.0,25.555555555555557,0.8819171036881969,712.3333333333334,48.74935897014442,293.77777777777777,10.28078034219409,24.48148148148148,0.8567316951828406,0.9693325273510337,0.021980943739829097,0.9414716822695998,0.029280648323523884,12.0,0.0
gpt,gpt-5.5,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,5,9,9,100.0,0.0,25.555555555555557,0.8819171036881969,713.3333333333334,46.92014492731241,285.8888888888889,14.869805348796975,23.824074074074076,1.2391504457330815,0.9802715268897456,0.008867462767311754,0.9380639832958972,0.02813450375105907,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,1,5,5,96.66666666666667,7.453559924999294,30.4,1.6733200530681511,611.8,41.02682049586587,239.8,10.497618777608567,19.983333333333334,0.8748015648007136,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,2,5,5,93.33333333333333,6.972166887783961,24.8,1.0954451150103321,439.6,53.956463931580984,159.6,16.87601848778319,13.3,1.4063348739819326,0.8761045667803757,0.01817665839078474,0.5549902871059348,0.015225854155133828,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,3,5,5,100.0,0.0,26.4,0.8944271909999159,440.0,23.37733945512192,152.0,11.895377253370318,12.666666666666666,0.9912814377808599,0.9147297512429092,0.02402850659863968,0.8060800822021985,0.09036828908603851,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,4,5,5,96.66666666666666,4.5643546458763895,27.2,1.0954451150103321,446.8,27.607969863791144,147.0,14.781745499094482,12.25,1.2318121249245402,0.9046092717855573,0.01964337651999071,0.7882459929648481,0.020210593092225046,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,5,5,5,91.66666666666667,8.333333333333329,26.0,2.0,405.8,53.8302888716009,142.2,15.706686474237651,11.85,1.308890539519804,0.9344022938562412,0.036585970594362714,0.8503623075569754,0.054248994371207906,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,1,5,5,100.0,0.0,29.6,2.6076809620810595,626.4,101.86903356761563,235.8,25.440125785852555,19.65,2.1200104821543797,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,2,5,5,100.0,0.0,24.8,1.0954451150103321,455.8,33.146643872344,163.8,5.932958789676531,13.65,0.49441323247304386,0.90789830403801,0.028870400386614942,0.6170809378418932,0.03550518193433351,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,3,5,5,98.33333333333333,3.726779962499654,25.2,1.0954451150103321,440.0,68.49452532867134,151.4,21.98408515267351,12.616666666666665,1.832007096056126,0.9390837761907556,0.03739047716669884,0.8254026203582839,0.0868121021608922,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,4,5,5,100.0,0.0,24.8,1.0954451150103321,397.0,51.07837115648854,133.0,20.844663585675832,11.083333333333334,1.7370552988063188,0.9496939634439635,0.03841888370565203,0.8165372406717137,0.08549250540812056,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,5,5,5,93.33333333333333,14.907119849998603,25.2,1.7888543819998317,390.4,63.33087714535462,133.4,19.060430215501434,11.116666666666667,1.588369184625119,0.9578426527176528,0.0449094561068049,0.9138440151896033,0.09769175375761507,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,1,5,5,95.0,7.453559924999296,25.2,1.0954451150103321,207.8,19.05780679931455,58.6,7.893034904268446,4.883333333333333,0.6577529086890372,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,2,5,5,96.66666666666667,7.453559924999294,25.2,1.0954451150103321,180.6,19.462785001124583,40.6,4.827007354458868,3.3833333333333333,0.4022506128715724,0.9744444444444444,0.025994865352437585,0.6891865079365079,0.08062113699996144,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,3,5,5,96.66666666666667,7.453559924999294,25.6,1.6733200530681511,179.0,31.874754901018456,36.0,6.59545297913646,3.0,0.549621081594705,0.9858333333333333,0.021969043877440086,0.8630555555555556,0.026142858949894467,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,4,5,5,96.66666666666667,7.453559924999294,25.2,1.0954451150103321,172.4,18.635986692418516,34.2,3.7682887362833544,2.85,0.3140240613569461,1.0,0.0,0.9705555555555555,0.0517293526532657,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,5,5,5,96.66666666666667,7.453559924999294,25.2,1.0954451150103321,172.8,17.767948671695333,34.0,3.5355339059327378,2.8333333333333335,0.29462782549439476,1.0,0.0,0.9944444444444445,0.012422599874998788,12.0,0.0
gpt,gpt-5.5,Cameron,gpt5.5-cameron-emnlp-2,cameron-prompt,gpt-5.5,gpt-5.5,1,5,5,96.66666666666666,4.5643546458763895,26.0,0.0,202.0,11.640446726822816,59.0,3.391164991562634,4.916666666666667,0.2825970826302195,1.0,0.0,0.0,0.0,12.0,0.0
