object_category,pair_ix,FirstRoundCardIndex,Model_Response,Round1,Round2,Round3,Round4
dogs,20,Card1,"```json
{
    ""Round1"": ""dog standing up very straight, black and brown, his legs are brown, tail's got a little black on it, black all through his torso"",
    ""Round2"": ""large basset hound, black and the brown legs, tail down, little black in it"",
    ""Round3"": ""the basset hound, big guy"",
    ""Round4"": ""the big basset hound""
}
```","dog standing up very straight, black and brown, his legs are brown, tail's got a little black on it, black all through his torso","large basset hound, black and the brown legs, tail down, little black in it","the basset hound, big guy",the big basset hound
dogs,20,Card2,"{
    ""Round1"": ""standing, uh, with his two front legs, uh...straight down, head is turned to the side, back legs are--he's--sticking out to the side, looking down the ****slope**** of his back leg"",
    ""Round2"": ""dog that looks like he's looking down his leg"",
    ""Round3"": ""guy looking down his leg, The *schnauzer*"",
    ""Round4"": ""The schnauzer, looking down his leg""
}","standing, uh, with his two front legs, uh...straight down, head is turned to the side, back legs are--he's--sticking out to the side, looking down the ****slope**** of his back leg",dog that looks like he's looking down his leg,"guy looking down his leg, The *schnauzer*","The schnauzer, looking down his leg"
dogs,20,Card3,"{
    ""Round1"": ""seated position, sitting, head turned"",
    ""Round2"": ""brown dog that's sitting"",
    ""Round3"": ""sitting dog"",
    ""Round4"": ""dog that's sitting, turned to the back""
}","seated position, sitting, head turned",brown dog that's sitting,sitting dog,"dog that's sitting, turned to the back"
dogs,20,Card4,"{
    ""Round1"": ""stout little, uh, black dog, very short, little curly, long body, he's black, looking towards his right"",
    ""Round2"": ""weiner dog"",
    ""Round3"": ""weiner dog"",
    ""Round4"": ""weiner""
}","stout little, uh, black dog, very short, little curly, long body, he's black, looking towards his right",weiner dog,weiner dog,weiner
dogs,20,Card5,"{
    ""Round1"": ""the poodle"",
    ""Round2"": ""the black poodle"",
    ""Round3"": ""the poodle"",
    ""Round4"": ""The poodle""
}",the poodle,the black poodle,the poodle,The poodle
dogs,20,Card6,"{
    ""Round1"": ""Doberman pinscher"",
    ""Round2"": ""the Doberman"",
    ""Round3"": ""Doberman"",
    ""Round4"": ""The Doberman""
}",Doberman pinscher,the Doberman,Doberman,The Doberman
dogs,20,Card7,"{
    ""Round1"": ""cocker spaniel, long ears"",
    ""Round2"": ""cocker spaniel"",
    ""Round3"": ""cocker spaniel"",
    ""Round4"": ""cocker spaniel""
}","cocker spaniel, long ears",cocker spaniel,cocker spaniel,cocker spaniel
dogs,20,Card8,"{
    ""Round1"": ""looks like a pug, really pushed in face"",
    ""Round2"": ""pushed in with his legs all the way down"",
    ""Round3"": ""the pushed in…face"",
    ""Round4"": ""the pug is next""
}","looks like a pug, really pushed in face",pushed in with his legs all the way down,the pushed in…face,the pug is next
dogs,20,Card9,"```json
{
    ""Round1"": ""white with *uh...*"",
    ""Round2"": ""the sled dog"",
    ""Round3"": ""the husky, or the sled dog"",
    ""Round4"": ""the sled dog""
}
```",white with *uh...*,the sled dog,"the husky, or the sled dog",the sled dog
dogs,20,Card10,"{
    ""Round1"": ""Yorkie with his, uh, his tail straight up, looks like the English dog"",
    ""Round2"": ""bearded English dog"",
    ""Round3"": ""the English, uh, bearded dog"",
    ""Round4"": ""the bearded English""
}","Yorkie with his, uh, his tail straight up, looks like the English dog",bearded English dog,"the English, uh, bearded dog",the bearded English
