extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,session_id,trace_file,round,object_num,basket_id,referring_expression,previous_referring_expression,re_words,relative_lexical_overlap,jaccard_lexical_overlap
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,1,images/076.png,the light tan wicker basket shaped like a duck/bird; rounded body with a head sticking out on the right and a little dark eye; a flat oval handle/strap on top; the duck/bird in side profile with the head/beak sticking out to the right and a flat strap handle on top; not the round cat-face one,,60,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,2,images/001.png,"an open, deep round bucket-shaped wicker basket with a single thick arched handle that’s very dark (almost black); The body has a tight small weave and a darker band around the top rim; overall dark brown, with that very dark almost-black thick handle and a dark band right around the rim; darker than the honey/light ones",,60,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,3,images/015.png,a rectangular picnic-style wicker basket with a hinged lid that’s open; the lid sticks up and leans to the right; a tall central handle/strap rising from the middle; Open top visible because the lid is up; that yellow-gold rectangular picnic basket with the hinged lid flipped up and leaning to the right,,56,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,4,images/009.png,a small shallow oval/boat-shaped basket with one arched handle; the handle connects via reddish-brown leather-like straps on the sides; the weave is light tan with a slightly darker band around the middle; the shallow oval/boat-shaped one with the arched handle that has a lighter/whitish section at the top; the handle is attached on both sides with reddish-brown strap pieces,,67,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,5,images/022.png,"a small, squat rectangular open basket with a very thick twisted/rope-like arched handle; The weave looks blocky/checkered in warm orange-brown tones; no lid; the squat rectangular open basket with the very thick twisted/rope-like arched handle; round braided look; a tight blocky/checker weave in warm orange-brown",,53,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,6,images/033.png,"the round, lidded light-tan basket that looks like a cat’s face; two little ears on top and a face drawn/stitched on (eyes, whiskers, small nose); No big handle; more like a round animal head on little feet; the pale round cat-face on little feet; not the duck",,51,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,7,images/012.png,a rectangular open basket with an arched handle and a distinctive two-tone look; orange-brown frame/handle but the body has greenish vertical slats/stripes; The top rim edge is scalloped/zigzag; the brown handle/frame with the green/teal vertically striped body,,44,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,8,images/040.png,"an open oval basket that’s mostly dark gray/blackish wicker with a single arched handle; it has a lighter whitish weave accent around the lower edge/base, making a pale band near the bottom; the mostly dark gray/black open basket with one handle and a clear pale/whitish band around the bottom edge; not the deep dark-brown bucket of basket 2, and not the warm honey-colored ones",,71,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,9,images/037.png,"a tall, straight-sided cylindrical wicker basket (like a small hamper) with TWO small loop handles near the top rim; It’s open at the top and has a more open, vertical slat/rectangular weave near the upper section; no big arched handle",,43,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,10,images/019.png,"a very shallow, wide round basket; almost like a flat tray; with a single arched handle over it; The bottom has a really obvious spiral/coiled weave pattern; the flat, shallow round tray with one arch handle and a very clear spiral/coiled pattern on the base; much flatter than the deeper handled baskets",,54,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,11,images/065.png,the large deep round tub/bucket basket with two small side handles; like little ears; an open top; no arched handle and no lid; The weave is brown with a diagonal/herringbone look and a slightly darker band near the bottom,,41,1.0,0.0
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,1,12,images/017.png,"an open, light honey-brown basket with one arched handle; shaped kind of like a rounded square; the rim has a little pinched-in notch/spout at the front; like a small pour spout; No lid, and no strong two-tone bands",,42,1.0,0.0
