object_category,pair_ix,round_ix,target_object_indices,model_response
dogs,20,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""dog standing up very straight, black and brown, legs are brown, tail has a little black on it, black all through his torso, basset hound"",
  ""object_#2"": ""standing with his two front legs straight down, head turned to the side, sticking out to the side, looking down the slope of his back leg"",
  ""object_#3"": ""seated position, sitting, head turned"",
  ""object_#4"": ""very stout little black dog, very short, curly, long body, turned, looking towards the right"",
  ""object_#5"": ""poodle"",
  ""object_#6"": ""Doberman pinscher"",
  ""object_#7"": ""cocker spaniel, long ears"",
  ""object_#8"": ""pug, or a miniature boxer"",
  ""object_#9"": ""sled dog, Husky, white"",
  ""object_#10"": ""German shepherd"",
  ""object_#11"": ""Yorkie with tail straight up"",
  ""object_#12"": ""English dog""
}"
dogs,20,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""pushed in with his legs all the way down"",
  ""object_#2"": ""the large basset hound"",
  ""object_#3"": ""the Doberman"",
  ""object_#4"": ""the brown dog that's sitting"",
  ""object_#5"": ""our bearded English dog"",
  ""object_#6"": ""looks like the black poodle"",
  ""object_#7"": ""the cocker spaniel"",
  ""object_#8"": ""the dog that looks like he's looking down his leg"",
  ""object_#9"": ""the sled dog again"",
  ""object_#10"": ""the husky"",
  ""object_#11"": ""the weiner dog""
}"
dogs,20,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""poodle"",
  ""object_#2"": ""english bearded dog"",
  ""object_#3"": ""husky, or the sled dog"",
  ""object_#4"": ""cocker spaniel"",
  ""object_#5"": ""pushed in face"",
  ""object_#6"": ""weiner dog"",
  ""object_#7"": ""sitting dog"",
  ""object_#8"": ""schnauzer"",
  ""object_#9"": ""basset hound, big guy"",
  ""object_#10"": ""Doberman""
}"
dogs,20,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""bearded English"",
  ""object_#2"": ""sled dog"",
  ""object_#3"": ""pug"",
  ""object_#4"": ""cocker spaniel"",
  ""object_#5"": ""Doberman"",
  ""object_#6"": ""poodle"",
  ""object_#7"": ""weiner"",
  ""object_#8"": ""the dog that's sitting"",
  ""object_#9"": ""schnauzer, looking down his leg"",
  ""object_#10"": ""big basset hound""
}"
dogs,21,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""standing in a really upright position, black stomach, golden face, golden legs, at the tip of its tail, it's black"",
  ""object_#2"": ""very furry dog, one of those British looking dogs, yellow, right back leg facing out"",
  ""object_#3"": ""very scary looking dog, looking to the left, a brown leash around its neck, sitting down"",
  ""object_#4"": ""small Chihuahua looking thing, black"",
  ""object_#5"": ""black poodle with a golden thing on it"",
  ""object_#6"": ""one of those Dobermans, scary"",
  ""object_#7"": ""looks like a golden retriever but in a poodle version, stretching its neck out, very furry, brown, very small, no black spots, ears down, very long, facing to the left, face sticking up"",
  ""object_#8"": ""standing in a ready to attack position, black nose, rest of the dog is yellow or brown, ears pointing up, no tail, very small tail, very muscular"",
  ""object_#9"": ""looks like a Siberian husky, looks like a wolf"",
  ""object_#10"": ""some type of terrier, big mustaches, black brow, very small, tail pointing upright, tail is straight up""
}"
dogs,21,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""the first dog is the one that has the black nose, ears upright, very muscular looking And is all yellow"",
  ""object_#2"": ""its ears are down, it's standing straight to the left, and at the end of its tail it's black"",
  ""object_#3"": ""Doberman"",
  ""object_#4"": ""the dog with the head facing to the left, sitting down, with the leash on it"",
  ""object_#5"": ""That Yorkie, with the tail upright"",
  ""object_#6"": ""the poodle, with the golden coin"",
  ""object_#7"": ""golden retriever with the face smelling"",
  ""object_#8"": ""the dog with its right back leg facing out And his head is down"",
  ""object_#9"": ""Siberian husky Looks like a wolf"",
  ""object_#10"": ""the hotdog""
}"
dogs,21,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""poodle with the ring on its neck"",
  ""object_#2"": ""Yorkie with big mustaches"",
  ""object_#3"": ""Siberian husky"",
  ""object_#4"": ""that golden retriever we're having problems with"",
  ""object_#5"": ""it looks like a boxer, the one with the black nose, Very muscular, built body"",
  ""object_#6"": ""hotdog"",
  ""object_#7"": ""dog sitting down, facing to the left with the leash"",
  ""object_#8"": ""dog that has a leg problem"",
  ""object_#9"": ""dog with the black tail, and the ears down, With the black body"",
  ""object_#10"": ""that scary looking Doberman""
}"
dogs,21,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""Yorkie with the mustache"",
  ""object_#2"": ""Siberian husky"",
  ""object_#3"": ""boxer, built body"",
  ""object_#4"": ""golden retriever"",
  ""object_#5"": ""Doberman"",
  ""object_#6"": ""poodle with the ring"",
  ""object_#7"": ""hotdog"",
  ""object_#8"": ""dog with the leash, sitting down"",
  ""object_#9"": ""dog with the leg problem"",
  ""object_#10"": ""dog with the black nose and black tail""
}"
dogs,22,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""dog, facing sideways, tail is showing, orange brown, shadow's black on its back"",
  ""object_#2"": ""orange dog, black shadow going through it, body towards front right, face towards the left, two of them look like the same, doesn't have a leash on it or anything, not the one with the green background"",
  ""object_#3"": ""same position as the other dog, green background, leash"",
  ""object_#4"": ""poodle, brown, facing to the right, no leash on it, very small dog, face is towards the right, long ears, big ears"",
  ""object_#5"": ""poodle, golden necklace"",
  ""object_#6"": ""Labrador, very tall, black, facing to the left"",
  ""object_#7"": ""facing towards the left, looks like Lassie, very hairy, brownish"",
  ""object_#8"": ""bulldog, with a chain, facing towards the left"",
  ""object_#9"": ""wolf"",
  ""object_#10"": ""mustache, facing towards the left, black, in grass""
}"
dogs,22,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""bulldog, with the chain"",
  ""object_#2"": ""the first dog with the tongue sticking out, with the black shadow on top, orange"",
  ""object_#3"": ""Labrador, tall, black"",
  ""object_#4"": ""the one with the leash, body towards the right, head towards the left, in the grass background"",
  ""object_#5"": ""wooshy, mustache"",
  ""object_#6"": ""golden necklace, circle"",
  ""object_#7"": ""Lassie, facing towards the left"",
  ""object_#8"": ""body towards the right, head towards the left, orange"",
  ""object_#9"": ""snow fox"",
  ""object_#10"": ""poodle, droopy ears, long nose""
}"
