extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,session_id,trace_file,round,object_num,basket_id,referring_expression,previous_referring_expression,re_words,relative_lexical_overlap,jaccard_lexical_overlap
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,1,1,the light tan wicker basket shaped like a duck/bird; a rounded body with a pointed beak sticking out to the right; a small dark eye; a flat strap/handle along the top,,33,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,2,2,"a deep, rounded bucket-shaped wicker basket with one tall arch handle; The handle is thick and very dark brown (almost black) with lighter worn spots; the basket body is darker overall with a lighter band right near the rim; the deep bulbous/tight-weave bucket, with that very dark thick handle and a clear pale strip/band right under the rim",,62,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,3,3,a light honey-tan rectangular picnic basket with a single upright handle in the middle (like a divider); it has a flat lid that’s flipped open/up on the RIGHT side; you can see the dark interior; the picnic-style rectangular wicker basket with the single upright center handle/divider; the lid is open/flipped up on the RIGHT side (dark interior visible); Not the flat trunk with metal rails,,71,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,4,4,an elongated oval wicker basket with one arched handle; The body is mostly pale/whitish wicker with a tan rim; the handle has small colored wrap accents (reddish/purple bands) near where it meets the sides; the mostly pale/whitewashed elongated oval with a tan rim; the handle has those small reddish/purple wrap accents where it attaches; Not the one with a thick dark band around the middle,,69,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,5,5,"a low, shallow rectangular wicker basket with one big arched handle that looks like a thick twisted rope; The body is warm medium-brown with a tight checkerboard weave (darker vertical stakes); it’s more tray-like than deep",,39,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,6,6,"a round, lidded wicker basket shaped like a cat head; two little ears on top; a painted face (eyes, nose, whiskers); It’s light tan and sits on small little feet",,31,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,7,7,"a boxy rectangular basket with one wide arched handle; the two-tone body—greenish/teal vertical weaving—topped with a thick warm-brown braided band around the rim; the boxy rectangular one with a distinctly green/teal woven body and a thick warm-brown braided band around the rim, with a broad arched handle",,54,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,8,8,"a short, squat oval basket with one arched handle; It’s mostly dark gray/blackish wicker; has noticeable pale/whitish horizontal bands/stripes wrapping around the body near the middle and bottom; a dark (almost black/charcoal) handle and body, with two lighter whitish horizontal bands: one around the middle and another closer to the bottom",,56,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,9,9,"a tall, straight-sided cylindrical wicker basket (like a small hamper); It has TWO small loop handles right near the rim; the weave looks like vertical slats with some open rectangular gaps near the top",,35,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,10,10,"a very shallow round tray/bowl with a single handle that comes up from ONE side (off-center, like a half-arch); The base has a clear spiral/coil pattern with alternating light and slightly darker tan rings",,38,1.0,0.0
