pair_id,filename,1,2,3,4
3kk7u0fy_08dnx2dx_ljtwijvs,001.png,"basic round basket, round, has a handle, uniform brown color, thicker rim","a very standard round basket, uniform brown color, slightly taller body, a thicker band on the top of the body of the basket","uniform brown basket, slightly taller round body with a thicker rim than the others","a uniform brown basket, very nicely arched handle, it has a thicker band on the top of the basket than the others, it looks almost like a plant pot for a hanging plant (minus the handle)"
3kk7u0fy_08dnx2dx_ljtwijvs,009.png,"2 tone white and light brown, the handle comes off the basket slightly split, becomes uniform at the top",the light brown and white basket with the handles that are split where they meet the basket body,"light brown and white basket, handles that split where they meet the body of the basket","the 2 tone basket that is light brown and white in appearance, the handles are split where they meet the body of the basket"
3kk7u0fy_08dnx2dx_ljtwijvs,012.png,"2 tone, darker and lighter brown, the handle and rim are a lighter brown, the basket itself is darker with a hint of the handle color, looks more square","a 2 tone rectangle basket, dark brown body with medium brown bands at top and bottom, rectangular body, a handle the same color as the lighter bands on the top and bottom","2 tone basket, dark brown body with lighter brown bands on the top and bottom, rectangular in appearance, handle matches the lighter color of the bands on the body","a 2 tone basket, dark body and more reddish brown bands on top and bottom as well as handle"
3kk7u0fy_08dnx2dx_ljtwijvs,015.png,"rectangle, right side of the lid is propped open at a 45 degree angle","a rectangle basket, the right side of the lid propped open at a 45 degree angle","rectangle basket, right side of the lid open at a 45 degree angle",the rectangle basket with the right side of the lid propped open at a 45 degree angle
3kk7u0fy_08dnx2dx_ljtwijvs,017.png,"looks like a purse or a tote bag, has a slight curve to the rim","looks like a purse or a tote bag with a slightly curved rim, uniform brown color","uniform brown basket, reminds me of a purse or a tote bag, the rim of the basket is slightly curved","a uniform brown basket, It reminds me of a purse or a tote bag, the rim of the basket has a slight downward curve to it"
3kk7u0fy_08dnx2dx_ljtwijvs,019.png,"the shallowest basket, light in color, very shallow, almost like a frying pan, has a handle, a slightly browner rim than the body","a very shallow light colored basket with a slightly darker rim, looks like a frying pan almost","shallow light colored basket, slightly darker rim, looks similar to a frying pan","shallow light colored basket with a slightly darker rim, looks like a frying pan to me"
3kk7u0fy_08dnx2dx_ljtwijvs,022.png,"fairly basic, uniform brown color, a braided handle, the basket is fairly low, the handle is fairly tall and does not arch as much as the others, sort of squared off","a simple basket, slightly 2 tone, the basket is a little darker than the rim and the handle, the handle is more distinctly braided than the other options, the body sits a little low, the handle appears slightly more squared off than rounded in how it ""arcs"" at the top","fairly standard basket, slightly darker body than top edge and handle, the handle is more distinctly braided and looks almost squared off more than arched","a standard brown basket, slightly lighter rim and handle, the braiding on the handle is more distinct, the handle has less of an arch and is more squared of in the shape it makes"
3kk7u0fy_08dnx2dx_ljtwijvs,033.png,"fat rodent, looking towards you",another rodent looking right at you,rodent looking right at you,a chubby rodent looking right at you
3kk7u0fy_08dnx2dx_ljtwijvs,037.png,"tall barrel shaped basket, 2 small handles, a few open white spots visible inside the top edge of the basket","the tall barrel shaped basket, 2 very small handles, some visible white openings just inside the the opening","tall barrel shaped basket, 2 small handles, some white spaces visible just inside the opening","the large barrel shaped basket, there are white areas visible inside the top edge of the opening"
3kk7u0fy_08dnx2dx_ljtwijvs,040.png,"2 tone, looks more gray and brown, is round","a round 2 tone basket that appears more brown and gray than the others, dark body of basket, gray or light brown on top and bottom","2 tone basket, looks almost brown and gray to me, dark round body with light brown/gray bands on top and bottom edge","a 2 tone basket, It is dark brown and gray in appearance, it is round, dark body, light brown/gray bands along top and bottom"
3kk7u0fy_08dnx2dx_ljtwijvs,065.png,"shorter barrel shaped basket, 2 small handles","the other more barrel shaped basket, 2 small handles on each side","smaller of the barrel shaped baskets, 2 handles on the sides",the smaller of the 2 barrel shaped baskets with 2 handles on each side of the basket
3kk7u0fy_08dnx2dx_ljtwijvs,076.png,rabbit facing to the right,a rabbit facing right,rabbit facing right,the rabbit facing right
3kk7u0fy_2ifxj59u_qhyb02an,001.png,"the very smooth brown one, has the smoothest body and it is brown, Like a shiny brown, All brown",is the shiniest in all brown,the all brown shiny one,"the shiniest of them all, has one handle"
3kk7u0fy_2ifxj59u_qhyb02an,009.png,the one that has white on both the handle and body,"the handle has brown and white, the body is brown and white too",the handle and body has both brown and white,has both white and brown on the entire body
3kk7u0fy_2ifxj59u_qhyb02an,012.png,dark green in the middle of the body and brown at the top and bottom,"the middles is dark green, the top and bottom is brown","the middle is dark green, the top and bottom is brown","the middle is dark grren, Top and bottom is brown"
3kk7u0fy_2ifxj59u_qhyb02an,015.png,the one that only one side of the lid is open,has one of its top open,only one side of the top is open,only one side of the top is open
