experiment,session_prefix,prompt_strategy,director_model,matcher_model,session_id,round,object_num,basket_id,left_extractor,left_gpt_model,right_extractor,right_gpt_model,left_re_words,right_re_words,word_count_delta_right_minus_left,multiset_jaccard,left_referring_expression,right_referring_expression
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,1,images/076.png,deterministic,,gpt,gpt-5.5,27,27,0,1.0,"the rabbit-shaped wicker basket: a squat round body with a protruding snout on the right, long ears lying back on top, and a small colored eye.","the rabbit-shaped wicker basket; a squat round body with a protruding snout on the right, long ears lying back on top, and a small colored eye"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,10,images/019.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,the very shallow round tray basket with a wide open spiral base and a single pale wrapped arch handle over it.,the very shallow round tray basket with a wide open spiral base and a single pale wrapped arch handle over it
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,11,images/065.png,deterministic,,gpt,gpt-5.5,25,25,0,1.0,"a large deep round storage basket, wider at the top, with two short upright loop handles on the left and right—no overhead arch handle.","a large deep round storage basket, wider at the top, with two short upright loop handles on the left and right—no overhead arch handle"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,12,images/017.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,the warm peach/light-brown rounded rectangular basket with vertical ribbed sides and a single smooth arch handle over the top.,the warm peach/light-brown rounded rectangular basket with vertical ribbed sides and a single smooth arch handle over the top
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,2,images/001.png,deterministic,,gpt,gpt-5.5,22,22,0,1.0,a round bucket-style woven basket with a very thick dark brown/black arch handle and a grayish rim around the top.,a round bucket-style woven basket with a very thick dark brown/black arch handle and a grayish rim around the top
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,3,images/015.png,deterministic,,gpt,gpt-5.5,24,24,0,1.0,"the rectangular picnic-style wicker carrier: straight sides, a tall upright handle/divider in the middle, plus another handle leaning diagonally to the right.","the rectangular picnic-style wicker carrier; straight sides, a tall upright handle/divider in the middle, plus another handle leaning diagonally to the right"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,4,images/009.png,deterministic,,gpt,gpt-5.5,25,25,0,1.0,"a small oval open basket with a thin high arch handle, pale/whitewashed sides mixed with tan, and little reddish ties at the handle bases.","a small oval open basket with a thin high arch handle, pale/whitewashed sides mixed with tan, and little reddish ties at the handle bases"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,5,images/022.png,deterministic,,gpt,gpt-5.5,19,19,0,1.0,the low rectangular tray-like basket with a thick twisted rope arch handle and chunky golden-brown lattice weave.,the low rectangular tray-like basket with a thick twisted rope arch handle and chunky golden-brown lattice weave
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,6,images/033.png,deterministic,,gpt,gpt-5.5,24,24,0,1.0,"the round lidded animal-face basket: pale straw, front-facing face with red eyes and whiskers, two ears on top, and little feet underneath.","the round lidded animal-face basket; pale straw, front-facing face with red eyes and whiskers, two ears on top, and little feet underneath"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,7,images/012.png,deterministic,,gpt,gpt-5.5,19,19,0,1.0,"a boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top.","a boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top"
