extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,1,10,10,90.83333333333334,18.613183964167725,34.8,7.671013260609347,1351.7,281.53154549909874,683.8,125.6324445002608,56.983333333333334,10.469370375021732,1.0,0.0,0.0,0.0,11.8,0.6324555320336759
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,2,10,10,95.0,8.050764858994128,30.2,6.762642481555071,1190.1,233.50063050117112,594.7,95.65569042723548,49.55833333333333,7.971307535602957,0.7325272949426849,0.05206086051350772,0.5095493754069037,0.05482525769128639,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,3,10,10,95.0,8.050764858994134,29.2,4.1311822359545785,1249.1,180.7253594699857,633.1,77.29948972089733,52.75833333333333,6.441624143408109,0.7358843826660812,0.03713689508234062,0.5910570818602009,0.037831515087260494,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,4,10,10,97.5,5.624571314254606,27.4,1.8973665961010275,1201.3,120.10925581874751,617.0,56.57443474456167,51.41666666666667,4.714536228713474,0.7692128759740953,0.03350759466454015,0.6058199308969981,0.05226693116747926,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,5,10,10,95.83333333333333,5.892556509887896,29.2,2.6997942308422114,1261.1,130.655144049772,634.0,37.818278943154226,52.833333333333336,3.151523245262852,0.7682923220548966,0.047946558119503165,0.6276579066609622,0.052836344300193905,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,1,10,10,100.0,0.0,25.6,0.8432740427115678,734.7,54.946539674689454,340.0,39.52495695408437,28.333333333333332,3.2937464128403637,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,2,10,10,100.0,0.0,25.8,0.6324555320336759,703.4,57.94671882188173,315.4,32.66394546489039,26.28333333333333,2.7219954554075323,0.9103979121344241,0.021601160230361974,0.7906894762026732,0.04475961708050592,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,3,10,10,100.0,0.0,25.8,0.6324555320336759,705.3,58.097714623248685,310.0,33.35665850571167,25.833333333333332,2.779721542142639,0.9627147510889034,0.020485464635082887,0.9182954924209978,0.03365247753618045,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,4,10,10,100.0,0.0,25.8,1.1352924243950935,706.4,49.64361881338717,309.6,28.202442762600864,25.8,2.3502035635500715,0.9717925964150192,0.020779573430811254,0.9441112263870781,0.027365080610767763,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,5,10,10,100.0,0.0,25.6,0.8432740427115678,702.3,56.34033487061763,305.6,31.90332619370937,25.46666666666667,2.6586105161424474,0.9818526512188434,0.0071858985728881644,0.956158435802055,0.01734296110914275,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.2,gpt-5.2,1,10,10,98.33333333333333,5.270462766947296,30.0,2.1081851067789197,619.1,73.61680061869936,243.2,19.998888858022976,20.266666666666666,1.666574071501915,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.2,gpt-5.2,2,10,10,96.66666666666667,5.826715823167508,24.8,1.0327955589886446,447.7,43.071129799695555,162.4,12.53616989177937,13.533333333333333,1.0446808243149475,0.8428627566472194,0.04376993980268868,0.5343506364242476,0.06036195726395396,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.2,gpt-5.2,3,10,10,99.16666666666667,2.6352313834736525,25.8,1.1352924243950935,440.0,48.249352327259274,153.3,17.442285782928032,12.775,1.4535238152440029,0.9204804780988991,0.0338767811399357,0.8084070103143213,0.09082711915865144,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.2,gpt-5.2,4,10,10,98.33333333333333,3.5136418446315365,26.0,1.632993161855452,421.9,46.76762888057413,142.1,19.4961534667739,11.841666666666667,1.6246794555644917,0.9171563868123803,0.042057091730819875,0.7818375786855226,0.06399381419561537,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.2,gpt-5.2,5,10,10,92.5,11.419335995052482,25.6,1.837873166945363,398.1,56.00287691022866,137.1,16.21693216637749,11.425,1.3514110138647906,0.9354271068457449,0.04216761715519374,0.8612463109292049,0.07229345327118343,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.5,gpt-5.5,1,10,10,95.83333333333333,5.892556509887896,25.6,0.8432740427115678,204.9,15.198318620455648,58.8,5.7310072800899885,4.9,0.47758394000749904,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.5,gpt-5.5,2,10,10,96.66666666666667,5.826715823167508,25.6,0.8432740427115678,174.7,18.83878977004627,40.3,4.571651780264984,3.3583333333333334,0.38097098168874877,0.9630555555555556,0.03285536955570544,0.6671230158730159,0.09226025960491091,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.5,gpt-5.5,3,10,10,97.5,5.624571314254606,25.8,1.1352924243950935,165.4,30.514841562026103,34.3,6.3604681868204915,2.8583333333333334,0.5300390155683744,0.9611111111111111,0.1158425478171715,0.8352777777777778,0.11891967698728392,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.5,gpt-5.5,4,10,10,97.5,5.624571314254606,25.6,0.8432740427115678,161.0,23.08438625757438,33.0,5.0771820705759385,2.75,0.4230985058813282,0.9611111111111111,0.1158425478171715,0.9318055555555556,0.14049755122372357,12.0,0.0
deterministic,,Cameron,cameron-prompt,gpt-5.5,gpt-5.5,5,10,10,97.5,5.624571314254606,25.6,0.8432740427115678,160.5,23.119256043393783,32.7,4.877385456255112,2.725,0.40644878802125933,1.0,0.0,0.9930555555555556,0.0150017145796478,12.0,0.0
