condition,metric,slope
"Implicit Prompt, GPT-5.2",accuracy,1.2499999999999987
"Implicit Prompt, GPT-5.2",words,-17.000000000000014
"Implicit Prompt, GPT-5.2",turns,-1.3999999999999992
"Implicit Prompt, GPT-5.2",re_words,-9.979999999999997
"Implicit Prompt, GPT-5.2",relative_lexical_overlap,0.010268096426481422
"Implicit Prompt, GPT-5.5",accuracy,0.0
"Implicit Prompt, GPT-5.5",words,-6.18
"Implicit Prompt, GPT-5.5",turns,0.0
"Implicit Prompt, GPT-5.5",re_words,-8.139999999999993
"Implicit Prompt, GPT-5.5",relative_lexical_overlap,0.01970092421590849
"Explicit Prompt, GPT-5.2",accuracy,-1.0000000000000002
"Explicit Prompt, GPT-5.2",words,-46.780000000000015
"Explicit Prompt, GPT-5.2",turns,-0.7599999999999993
"Explicit Prompt, GPT-5.2",re_words,-22.16999999999999
"Explicit Prompt, GPT-5.2",relative_lexical_overlap,0.01626079675311903
"Explicit Prompt, GPT-5.5",accuracy,0.41666666666666713
"Explicit Prompt, GPT-5.5",words,-10.249999999999995
"Explicit Prompt, GPT-5.5",turns,0.0
"Explicit Prompt, GPT-5.5",re_words,-5.949999999999999
"Explicit Prompt, GPT-5.5",relative_lexical_overlap,0.011583333333333326
