extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,session_id,trace_file,round,accuracy,turns,words,re_words,mean_re_length,relative_lexical_overlap,jaccard_lexical_overlap,extracted_objects
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,100.0,34,1158,586,48.833333333333336,1.0,0.0,12
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,75.0,28,1221,630,52.5,0.2696058236573163,0.15784085026471398,12
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,91.66666666666666,36,1406,753,62.75,0.31989663955932673,0.20359662967169065,12
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,100.0,30,1117,595,49.583333333333336,0.3419394954019221,0.1709732132132135,12
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_2/gpt5.2-acl_123244_2_data.json,1,100.0,24,1112,568,47.333333333333336,1.0,0.0,12
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_2/gpt5.2-acl_123244_2_data.json,2,100.0,36,1562,803,66.91666666666667,0.2876379297846689,0.1869586577008363,12
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_2/gpt5.2-acl_123244_2_data.json,3,33.33333333333333,42,1815,888,74.0,0.3293285554334427,0.20128744853574213,11
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_2/gpt5.2-acl_123244_2_data.json,4,25.0,42,1809,855,71.25,0.3015701485438798,0.16121124589743316,12
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_3,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_3/gpt5.2-acl_123244_3_data.json,1,100.0,40,1560,794,66.16666666666667,1.0,0.0,12
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_3,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_3/gpt5.2-acl_123244_3_data.json,2,100.0,32,1267,656,54.666666666666664,0.35906489430993815,0.19197835801352112,12
